,STATION,PRCP1,PRCP2,PRCP3,PRCP4,PRCP5,PRCP6,PRCP7,PRCP8,PRCP9,PRCP10,PRCP11,PRCP12,SST1,SST2,SST3,SST4,SST5,SST6,SST7,SST8,SST9,SST10,SST11,SST12,RANGE_HIGH1,RANGE_HIGH2,RANGE_HIGH3,RANGE_HIGH4,RANGE_HIGH5,RANGE_HIGH6,RANGE_HIGH7,RANGE_HIGH8,RANGE_HIGH9,RANGE_HIGH10,RANGE_HIGH11,RANGE_HIGH12,RANGE_OVERALL1,RANGE_OVERALL2,RANGE_OVERALL3,RANGE_OVERALL4,RANGE_OVERALL5,RANGE_OVERALL6,RANGE_OVERALL7,RANGE_OVERALL8,RANGE_OVERALL9,RANGE_OVERALL10,RANGE_OVERALL11,RANGE_OVERALL12,RANGE_LOW1,RANGE_LOW2,RANGE_LOW3,RANGE_LOW4,RANGE_LOW5,RANGE_LOW6,RANGE_LOW7,RANGE_LOW8,RANGE_LOW9,RANGE_LOW10,RANGE_LOW11,RANGE_LOW12,TMIN1,TMIN2,TMIN3,TMIN4,TMIN5,TMIN6,TMIN7,TMIN8,TMIN9,TMIN10,TMIN11,TMIN12,TMAX1,TMAX2,TMAX3,TMAX4,TMAX5,TMAX6,TMAX7,TMAX8,TMAX9,TMAX10,TMAX11,TMAX12,LATITUDE,LONGITUDE
0,GHCND:US1SCBK0016,1.97,2.17,1.5,0.8,1.31,3.69,1.16,1.96,2.19,6.67,1.83,0.85,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0347,-80.135
1,GHCND:US1SCBK0017,1.9,2.28,1.35,0.81,1.38,3.13,1.11,3.49,1.51,7.62,1.21,0.56,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0011,-80.0766
2,GHCND:US1SCBK0019,1.91,2.15,1.52,1.27,1.35,2.89,1.22,1.52,2.06,8.17,1.38,0.83,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0377,-80.1259
3,GHCND:US1SCBK0037,1.89,2.38,0.93,0.95,1.22,2.44,0.95,3.4,1.61,8.14,1.75,0.99,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9196,-79.8402
4,GHCND:US1SCBK0040,2.1,2.55,0.92,0.89,1.8,1.53,1.55,1.74,1.14,7.4,1.72,0.79,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8587,-79.9206
5,GHCND:US1SCBK0041,1.8,2.73,0.26,0.63,0.82,1.64,1.24,6.68,0.93,7.36,0.85,0.86,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9203,-80.0055
6,GHCND:US1SCCR0002,1.36,2.33,1.95,1.22,1.21,0.87,1.15,2.33,1.84,0.89,2.45,1.18,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8129,-79.8877
7,GHCND:US1SCCR0004,1.3,2.19,1.63,1.07,0.78,1.11,0.94,2.91,1.32,6.99,3.02,0.98,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8117,-79.8336
8,GHCND:US1SCCR0022,0.8,2.67,0.88,1.28,3.67,3.1,1.65,5.75,0.69,0.58,2.46,0.62,21.87199935913086,21.51399955749512,20.46799964904785,20.6859992980957,23.3299991607666,27.003998947143554,27.819998931884765,28.593999481201173,27.999999237060546,25.019999694824218,23.075999069213868,21.521999740600585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.806999999999995,-80.08
9,GHCND:US1SCCR0026,1.38,2.44,1.41,1.12,0.93,1.17,0.95,2.36,1.79,7.94,2.05,1.17,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8567,-79.8058
10,GHCND:US1SCCR0030,0.54,2.49,1.27,0.72,1.74,4.1,1.57,5.48,1.49,9.47,1.82,0.63,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9591,-80.0606
11,GHCND:US1SCCR0032,1.76,2.52,0.93,0.23,0.66,3.98,0.77,1.41,3.8,5.39,1.59,0.72,21.849999618530273,21.465999603271484,20.383999633789063,20.62799949645996,23.285999298095703,26.935998916625977,27.769998931884764,28.57999954223633,28.039999389648436,25.067999649047852,23.033999252319337,21.441999435424805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7011,-80.2937
12,GHCND:US1SCCR0034,1.77,2.52,1.1,0.7,1.09,2.54,1.49,3.04,1.46,8.02,3.27,0.64,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9322,-80.0736
13,GHCND:US1SCCR0042,1.06,2.35,1.06,1.06,1.4,1.82,1.3,1.63,0.9,6.77,1.57,0.67,22.12799949645996,21.79599952697754,20.6939998626709,20.87799949645996,23.47199935913086,27.091999053955078,27.903998947143556,28.649999618530273,28.057999420166016,25.187999725341797,23.317999267578124,21.883999633789063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8103,-79.9569
14,GHCND:US1SCCR0045,2.16,2.81,0.8,1.35,4.02,2.14,2.38,4.06,1.42,3.83,3.43,0.81,21.87199935913086,21.51399955749512,20.46799964904785,20.6859992980957,23.3299991607666,27.003998947143554,27.819998931884765,28.593999481201173,27.999999237060546,25.019999694824218,23.075999069213868,21.521999740600585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8352,-80.07300000000002
15,GHCND:US1SCCR0051,1.19,2.55,2.22,1.22,1.28,1.18,1.34,3.21,0.73,6.75,3.15,1.15,22.12799949645996,21.79599952697754,20.6939998626709,20.87799949645996,23.47199935913086,27.091999053955078,27.903998947143556,28.649999618530273,28.057999420166016,25.187999725341797,23.317999267578124,21.883999633789063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8064,-79.8784
16,GHCND:US1SCCR0057,1.79,2.48,0.86,0.98,1.35,1.74,1.85,4.3,1.05,8.0,2.45,0.47,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8794,-79.9899
17,GHCND:US1SCCR0069,1.63,2.72,0.49,1.15,0.46,1.51,2.73,1.97,0.46,13.17,2.44,0.68,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8965,-79.7962
18,GHCND:US1SCCR0074,1.43,2.38,0.85,3.65,0.83,1.38,1.36,2.3,1.63,7.07,2.9,1.18,21.87199935913086,21.51399955749512,20.46799964904785,20.6859992980957,23.3299991607666,27.003998947143554,27.819998931884765,28.593999481201173,27.999999237060546,25.019999694824218,23.075999069213868,21.521999740600585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7216,-80.0088
19,GHCND:US1SCCR0076,1.33,2.0,1.5,1.35,0.85,1.13,1.3,2.6,2.2,7.0,3.85,0.65,21.92799949645996,21.64399948120117,20.623999786376952,20.789999389648436,23.409999084472656,27.159999084472656,27.949999237060545,28.609999465942384,27.9359992980957,24.963999557495118,23.191999435424805,21.75799980163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8224,-79.8253
20,GHCND:US1SCCR0082,1.62,2.52,1.54,1.16,1.36,2.57,1.25,2.63,0.98,8.61,1.88,0.96,22.12799949645996,21.79599952697754,20.6939998626709,20.87799949645996,23.47199935913086,27.091999053955078,27.903998947143556,28.649999618530273,28.057999420166016,25.187999725341797,23.317999267578124,21.883999633789063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7859,-79.9834
21,GHCND:US1SCCR0083,1.38,2.27,0.35,0.54,0.9,1.23,1.21,2.8,0.71,6.62,2.88,0.41,21.849999618530273,21.465999603271484,20.383999633789063,20.62799949645996,23.285999298095703,26.935998916625977,27.769998931884764,28.57999954223633,28.039999389648436,25.067999649047852,23.033999252319337,21.441999435424805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6288,-80.0406
