,STATION,YEAR,MONTH,DATE,PRCP,TMAX,TMIN,LONGITUDE,LATITUDE,ELEVATION,RANGE_HIGH,RANGE_LOW,RANGE_OVERALL,RANGE_MID,SST
0,GHCND:US1SCBK0016,2011,1,2011-01-31,0.49,,,-80.135,33.0347,24.1,,,,,19.617999649047853
1,GHCND:US1SCBK0016,2011,2,2011-02-28,1.12,,,-80.135,33.0347,24.1,,,,,18.39599952697754
2,GHCND:US1SCBK0016,2011,3,2011-03-31,1.58,,,-80.135,33.0347,24.1,,,,,18.425999450683594
3,GHCND:US1SCBK0016,2011,4,2011-04-30,0.85,,,-80.135,33.0347,24.1,,,,,20.003999710083008
4,GHCND:US1SCBK0016,2011,5,2011-05-31,0.44,,,-80.135,33.0347,24.1,,,,,22.88799934387207
5,GHCND:US1SCBK0016,2011,6,2011-06-30,1.6,,,-80.135,33.0347,24.1,,,,,26.767998886108398
6,GHCND:US1SCBK0016,2011,7,2011-07-31,1.59,,,-80.135,33.0347,24.1,,,,,28.01399955749512
7,GHCND:US1SCBK0016,2011,8,2011-08-31,3.31,,,-80.135,33.0347,24.1,,,,,28.731999588012695
8,GHCND:US1SCBK0016,2011,9,2011-09-30,1.05,,,-80.135,33.0347,24.1,,,,,27.967999267578126
9,GHCND:US1SCBK0016,2011,10,2011-10-31,0.82,,,-80.135,33.0347,24.1,,,,,25.099999237060548
10,GHCND:US1SCBK0016,2011,11,2011-11-30,0.9,,,-80.135,33.0347,24.1,,,,,21.3299991607666
11,GHCND:US1SCBK0016,2011,12,2011-12-31,0.38,,,-80.135,33.0347,24.1,,,,,20.73399963378906
12,GHCND:US1SCBK0016,2012,1,2012-01-31,0.3,,,-80.135,33.0347,24.1,,,,,19.179999542236327
13,GHCND:US1SCBK0016,2012,2,2012-02-29,1.38,,,-80.135,33.0347,24.1,,,,,19.01399955749512
14,GHCND:US1SCBK0016,2012,3,2012-03-31,3.26,,,-80.135,33.0347,24.1,,,,,20.293999862670898
15,GHCND:US1SCBK0016,2012,4,2012-04-30,1.5,,,-80.135,33.0347,24.1,,,,,21.133999633789063
16,GHCND:US1SCBK0016,2012,5,2012-05-31,2.25,,,-80.135,33.0347,24.1,,,,,23.963999557495118
17,GHCND:US1SCBK0016,2012,6,2012-06-30,2.8,,,-80.135,33.0347,24.1,,,,,25.753998947143554
18,GHCND:US1SCBK0016,2012,7,2012-07-31,1.29,,,-80.135,33.0347,24.1,,,,,28.09599952697754
19,GHCND:US1SCBK0016,2012,8,2012-08-31,1.72,,,-80.135,33.0347,24.1,,,,,28.04199981689453
20,GHCND:US1SCBK0016,2012,9,2012-09-30,1.29,,,-80.135,33.0347,24.1,,,,,27.47199935913086
21,GHCND:US1SCBK0016,2012,10,2012-10-31,0.73,,,-80.135,33.0347,24.1,,,,,25.527999877929688
22,GHCND:US1SCBK0016,2012,11,2012-11-30,0.77,,,-80.135,33.0347,24.1,,,,,21.707999420166015
23,GHCND:US1SCBK0016,2012,12,2012-12-31,0.9,,,-80.135,33.0347,24.1,,,,,22.39799919128418
24,GHCND:US1SCBK0016,2013,1,2013-01-31,0.18,,,-80.135,33.0347,24.1,,,,,21.82399978637695
25,GHCND:US1SCBK0016,2013,2,2013-02-28,1.89,,,-80.135,33.0347,24.1,,,,,20.77999954223633
26,GHCND:US1SCBK0016,2013,3,2013-03-31,3.24,,,-80.135,33.0347,24.1,,,,,19.71199951171875
27,GHCND:US1SCBK0016,2013,4,2013-04-30,1.55,,,-80.135,33.0347,24.1,,,,,19.557999038696288
28,GHCND:US1SCBK0016,2013,5,2013-05-31,1.04,,,-80.135,33.0347,24.1,,,,,22.405999374389648
29,GHCND:US1SCBK0016,2013,6,2013-06-30,1.58,,,-80.135,33.0347,24.1,,,,,26.10399932861328
30,GHCND:US1SCBK0016,2013,7,2013-07-31,3.6,,,-80.135,33.0347,24.1,,,,,27.259999465942382
31,GHCND:US1SCBK0016,2013,8,2013-08-31,2.08,,,-80.135,33.0347,24.1,,,,,28.131999588012697
32,GHCND:US1SCBK0016,2013,9,2013-09-30,0.57,,,-80.135,33.0347,24.1,,,,,27.463999557495118
33,GHCND:US1SCBK0016,2013,10,2013-10-31,0.57,,,-80.135,33.0347,24.1,,,,,24.733999252319336
34,GHCND:US1SCBK0016,2013,11,2013-11-30,2.11,,,-80.135,33.0347,24.1,,,,,21.943999099731446
35,GHCND:US1SCBK0016,2013,12,2013-12-31,0.93,,,-80.135,33.0347,24.1,,,,,21.481999588012695
36,GHCND:US1SCBK0016,2014,1,2014-01-31,0.72,,,-80.135,33.0347,24.1,,,,,20.02199935913086
