LONGITUDE LATITUDE PRCP
-81.0818 32.1313 0.31
-81.0438 32.117 0.31
-81.0059 32.1027 0.56
-80.968 32.0884 0.46
-80.9301 32.0741 0.59
-81.1029 32.1777 0.72
-81.0649 32.1634 0.66
-81.027 32.1491 0.7
-80.989 32.1348 0.65
-80.9511 32.1205 0.82
-80.9132 32.1062 0.82
-80.8753 32.0918 0.54
-81.1241 32.2241 1.17
-81.0861 32.2098 1.07
-81.0481 32.1956 0.98
-81.0101 32.1813 0.71
-80.9721 32.167 0.74
-80.9342 32.1526 0.6
-80.8963 32.1383 0.39
-80.8584 32.1239 0.3
-80.8205 32.1095 0.34
-81.1072 32.2563 1.11
-81.0692 32.242 0.83
-81.0312 32.2277 0.65
-80.9932 32.2134 0.55
-80.9552 32.1991 0.4
-80.9172 32.1847 0.33
-80.8793 32.1704 0.36
-80.8414 32.156 0.33
-80.8035 32.1416 0.37
-81.0904 32.2885 0.58
-81.0523 32.2742 0.53
-81.0143 32.2599 0.57
-80.9762 32.2456 0.52
-80.9382 32.2312 0.53
-80.9003 32.2169 0.53
-80.8623 32.2025 0.44
-80.8244 32.1881 0.48
-80.7865 32.1737 0.46
-80.7486 32.1592 0.38
-81.1497 32.3492 0.91
-81.1116 32.3349 0.61
-81.0735 32.3206 0.62
-81.0354 32.3064 0.58
-80.9973 32.292 0.61
-80.9593 32.2777 0.6
-80.9213 32.2634 0.52
-80.8833 32.249 0.46
-80.8453 32.2346 0.49
-80.8073 32.2202 0.4
-80.7694 32.2057 0.38
-80.7315 32.1913 0.38
-81.171 32.3957 0.64
-81.1329 32.3814 0.63
-81.0947 32.3671 0.69
-81.0566 32.3528 0.66
-81.0185 32.3385 0.75
-80.9804 32.3242 0.67
-80.9423 32.3099 0.55
-80.9043 32.2955 0.52
-80.8663 32.2811 0.41
-80.8283 32.2667 0.3
-80.7903 32.2523 0.29
-80.7523 32.2378 0.27
-80.7144 32.2234 0.36
-81.1924 32.4422 0.52
-81.1542 32.4279 0.58
-81.116 32.4136 0.71
-81.0778 32.3994 0.7
-81.0396 32.3851 0.71
-81.0015 32.3707 0.62
-80.9634 32.3564 0.55
-80.9253 32.342 0.48
-80.8873 32.3276 0.31
-80.8492 32.3132 0.22
-80.8112 32.2988 0.22
-80.7732 32.2844 0.21
-81.2138 32.4887 0.58
-81.1755 32.4744 0.61
-81.1373 32.4602 0.61
-81.099 32.4459 0.62
-81.0608 32.4316 0.67
-81.0227 32.4173 0.52
-80.9845 32.4029 0.46
-80.9464 32.3886 0.41
-80.9083 32.3742 0.31
-80.8702 32.3598 0.23
-80.8322 32.3454 0.22
-80.7941 32.331 0.24
-80.7561 32.3165 0.26
-80.6422 32.273 0.6
-81.3502 32.5778 0.4
-81.3119 32.5636 0.42
-81.2735 32.5494 0.45
-81.2352 32.5352 0.54
-81.1969 32.5209 0.64
-81.1586 32.5067 0.7
-81.1203 32.4924 0.74
-81.0821 32.4781 0.81
-81.0439 32.4638 0.55
-81.0057 32.4495 0.58
-80.9675 32.4351 0.42
-80.9294 32.4208 0.3
-80.8912 32.4064 0.25
-80.8531 32.392 0.23
-80.8151 32.3775 0.23
-80.777 32.3631 0.25
-80.739 32.3486 0.33
-80.701 32.3341 0.58
-80.663 32.3196 0.71
-80.625 32.3051 0.83
-80.5871 32.2906 1.01
-81.3718 32.6243 0.59
-81.3334 32.6101 0.58
-81.295 32.5959 0.71
-81.2566 32.5817 0.72
-81.2183 32.5675 0.84
-81.18 32.5532 0.86
-81.1417 32.539 0.96
-81.1034 32.5247 0.91
-81.0651 32.5104 0.68
-81.0269 32.496 0.6
-80.9887 32.4817 0.47
-80.9505 32.4673 0.45
-80.9123 32.453 0.41
-80.8742 32.4385 0.31
-80.8361 32.4241 0.24
-80.798 32.4097 0.25
-80.7599 32.3952 0.42
-80.7218 32.3807 0.69
-80.6838 32.3662 0.76
-80.6458 32.3517 0.74
-80.6078 32.3372 1.05
-80.5698 32.3226 1.6
-80.5319 32.308 1.88
-81.3935 32.6708 0.92
-81.355 32.6566 0.99
-81.3166 32.6425 1.07
-81.2781 32.6283 1.19
-81.2398 32.614 1.19
-81.2014 32.5998 1.21
-81.163 32.5855 0.93
-81.1247 32.5713 0.64
-81.0864 32.557 0.58
-81.0481 32.5426 0.55
-81.0099 32.5283 0.39
-80.9717 32.5139 0.49
-80.9334 32.4996 0.52
-80.8953 32.4852 0.43
-80.8571 32.4707 0.45
-80.8189 32.4563 0.59
-80.7808 32.4418 0.68
-80.7427 32.4274 0.93
-80.7047 32.4129 1.03
-80.6666 32.3984 0.98
-80.6286 32.3838 1.19
-80.5906 32.3693 1.44
-80.5526 32.3547 1.85
-80.5146 32.3401 1.77
-80.4767 32.3255 1.62
-81.4151 32.7173 1.31
-81.3766 32.7032 1.19
-81.3382 32.689 1.29
-81.2997 32.6748 1.21
-81.2613 32.6606 0.89
-81.2229 32.6464 0.81
-81.1845 32.6321 0.7
-81.1461 32.6178 0.7
-81.1077 32.6035 0.74
-81.0694 32.5892 0.5
-81.0311 32.5749 0.27
-80.9929 32.5605 0.34
-80.9546 32.5462 0.5
-80.9164 32.5318 0.49
-80.8782 32.5174 0.53
-80.84 32.5029 0.63
-80.8018 32.4885 0.82
-80.7637 32.474 1.12
-80.7256 32.4595 1.29
-80.6875 32.445 1.37
-80.6494 32.4305 1.61
-80.6113 32.4159 1.95
-80.5733 32.4014 2.57
-80.5353 32.3868 2.5
-80.4973 32.3722 2.62
-80.4594 32.3575 2.56
-81.3983 32.7498 1.24
-81.3598 32.7356 0.99
-81.3213 32.7214 0.9
-81.2828 32.7072 0.66
-81.2444 32.693 0.54
-81.2059 32.6787 0.57
-81.1675 32.6644 0.73
-81.1291 32.6501 0.98
-81.0908 32.6358 0.74
-81.0524 32.6215 0.29
-81.0141 32.6072 0.25
-80.9758 32.5928 0.45
-80.9375 32.5784 0.71
-80.8993 32.564 0.89
-80.861 32.5496 1.05
-80.8228 32.5351 1.2
-80.7847 32.5207 1.34
-80.7465 32.5062 1.51
-80.7084 32.4917 1.68
-80.6702 32.4771 1.98
-80.6322 32.4626 2.81
-80.5941 32.448 3.67
-80.556 32.4335 3.74
-80.518 32.4189 3.59
-80.48 32.4042 3.69
-80.442 32.3896 3.54
-81.42 32.7963 1.09
-81.3815 32.7822 0.97
-81.3429 32.768 0.65
-81.3044 32.7538 0.56
-81.2659 32.7396 0.56
-81.2274 32.7253 0.7
-81.189 32.711 0.81
-81.1505 32.6968 1.11
-81.1121 32.6825 0.93
-81.0737 32.6681 0.59
-81.0354 32.6538 0.35
-80.997 32.6394 0.7
-80.9587 32.625 1.09
-80.9204 32.6106 1.5
-80.8822 32.5962 1.59
-80.8439 32.5818 1.68
-80.8057 32.5673 2.14
-80.7675 32.5528 2.52
-80.7293 32.5383 2.67
-80.6911 32.5238 2.72
-80.653 32.5093 3.54
-80.6149 32.4947 4.05
-80.5768 32.4802 4.06
-80.5387 32.4656 4.32
-80.5007 32.4509 4.55
-81.4032 32.8288 0.81
-81.3646 32.8146 0.64
-81.326 32.8004 0.59
-81.2875 32.7862 0.64
-81.249 32.7719 0.64
-81.2105 32.7577 0.88
-81.172 32.7434 1.08
-81.1335 32.7291 0.75
-81.0951 32.7148 0.71
-81.0567 32.7004 0.71
-81.0183 32.6861 0.73
-80.98 32.6717 0.9
-80.9416 32.6573 1.14
-80.9033 32.6429 1.35
-80.865 32.6285 1.7
-80.8267 32.614 1.94
-80.7885 32.5995 2.38
-80.7503 32.585 2.48
-80.7121 32.5705 3.16
-80.6739 32.556 3.9
-80.6357 32.5414 4.05
-80.5976 32.5269 4.19
-80.5595 32.5123 4.09
-80.5214 32.4977 3.99
-80.4834 32.483 3.81
-81.4636 32.8895 0.79
-81.4249 32.8754 0.73
-81.3863 32.8612 0.55
-81.3477 32.847 0.53
-81.3091 32.8328 0.46
-81.2705 32.8186 0.6
-81.232 32.8043 0.79
-81.1935 32.79 0.97
-81.155 32.7757 0.93
-81.1165 32.7614 0.36
-81.0781 32.7471 0.92
-81.0396 32.7328 0.75
-81.0012 32.7184 0.7
-80.9629 32.704 1.09
-80.9245 32.6896 1.5
-80.8862 32.6752 1.75
-80.8479 32.6607 2.26
-80.8096 32.6462 2.47
-80.7713 32.6317 2.25
-80.7331 32.6172 2.84
-80.6948 32.6027 3.48
-80.6566 32.5882 3.77
-80.6185 32.5736 3.85
-80.5803 32.559 3.8
-80.5422 32.5444 3.79
-80.5041 32.5298 3.96
-80.466 32.5151 3.88
-80.4279 32.5005 4.31
-80.3899 32.4858 4.08
-81.4854 32.9361 0.95
-81.4467 32.922 0.78
-81.4081 32.9078 0.73
-81.3694 32.8936 0.56
-81.3308 32.8794 0.55
-81.2922 32.8652 0.73
-81.2536 32.851 0.98
-81.215 32.8367 1.2
-81.1765 32.8224 1.17
-81.138 32.8081 0.62
-81.0995 32.7938 0.52
-81.061 32.7794 0.6
-81.0226 32.7651 0.7
-80.9841 32.7507 1.33
-80.9457 32.7363 1.7
-80.9074 32.7219 1.81
-80.869 32.7074 2.24
-80.8307 32.693 2.4
-80.7924 32.6785 2.42
